"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90320","TC11 - To validate options under Data Submission dropdown","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","45014","TC09 - To assert text under Status link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","90087","TC07 - To assert text under Submission button","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","59209","TC14 - Validate user is able to see and select value from the select Tin dropdown on Status page","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","60296","TC08 - To assert text under Status link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","40374","TC05 - To assert text under Registration button","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","35679","TC06 - To assert text under Submission link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","79012","TC10 - To validate user is able to see and click on data submission","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","86709","TC04 - To assert text under Registration link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","62410","TC01 - Validate user is able to navigate to QCDR Data Management page","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","60566","TC04 - To assert text under Registration link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","59011","TC02 - Validate user is able to click Subgroup manager link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","45021","TC15 - Validate user is able to see and select value from the select Tin dropdown on Submission page","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","72982","TC02 - Validate user is able to click Subgroup manager link","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
"","51391","TC03 - To assert text under Subgroup manager button","Practical Insights","2026-08-05","passed","2026-08-05","General","QCDR DM","",""
